PRICE,BEDS,BATH,PROPERTYSQFT,TYPE_Condo for sale,TYPE_House for sale,TYPE_Land for sale,TYPE_Multi-family home for sale,TYPE_Townhouse for sale,SUBLOCALITY_Kings County,SUBLOCALITY_Manhattan,SUBLOCALITY_New York,SUBLOCALITY_Queens,SUBLOCALITY_Richmond County,SUBLOCALITY_Staten Island,SUBLOCALITY_The Bronx
328000,1,1.0,800.0,False,False,False,False,False,False,False,False,True,False,False,False
1388000,4,3.0,2184.207862,False,False,False,True,False,False,False,False,True,False,False,False
2198888,7,6.0,2184.207862,False,False,False,True,False,False,False,False,True,False,False,False
650000,6,2.0,2310.0,False,False,False,True,False,False,False,False,False,False,False,True
1100000,1,2.0,890.0,True,False,False,False,False,False,False,True,False,False,False,False
2649000,5,4.0,4050.0,False,False,False,False,True,True,False,False,False,False,False,False
849000,2,1.0,800.0,False,False,False,False,False,False,False,False,False,False,False,False
560000,3,1.0,550.0,False,False,False,False,False,False,False,True,False,False,False,False
1100000,1,2.0,890.0,True,False,False,False,False,False,False,True,False,False,False,False
2649000,5,4.0,4050.0,False,False,False,False,True,True,False,False,False,False,False,False
849000,2,1.0,800.0,False,False,False,False,False,False,False,False,False,False,False,False
418888,2,1.0,900.0,False,False,False,False,False,False,False,False,False,False,False,False
2600000,3,3.0,3978.0,False,False,False,True,False,True,False,False,False,False,False,False
899000,8,2.0,2160.0,False,False,False,True,False,False,False,False,False,False,False,True
979000,8,3.0,2860.0,False,False,False,True,False,True,False,False,False,False,False,False
199000,1,1.0,2184.207862,False,False,False,False,False,False,False,False,True,False,False,False
1025000,1,1.0,800.0,True,False,False,False,False,False,False,True,False,False,False,False
1375000,1,2.0,920.0,True,False,False,False,False,False,False,True,False,False,False,False
875000,3,2.0,1437.0,True,False,False,False,False,False,False,True,False,False,False,False
1350000,6,3.0,3000.0,False,False,False,True,False,True,False,False,False,False,False,False
815156,4,4.0,2945.0,False,False,False,True,False,False,False,False,False,True,False,False
1949000,3,5.0,2560.0,False,False,False,True,False,True,False,False,False,False,False,False
669000,5,2.0,1893.0,False,False,False,True,False,False,False,False,True,False,False,False
900500,4,2.0,2184.207862,False,False,False,True,False,True,False,False,False,False,False,False
1465000,3,3.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
1100000,1,1.0,726.0,True,False,False,False,False,False,False,True,False,False,False,False
1199000,6,5.0,2184.207862,False,False,False,True,False,False,False,False,True,False,False,False
599000,4,3.0,1176.0,False,False,False,True,False,False,False,True,False,False,False,False
1230000,4,3.0,2184.207862,False,False,False,True,False,False,False,False,True,False,False,False
3950000,3,3.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
2147483647,7,6.0,10000.0,False,True,False,False,False,False,False,False,False,True,False,False
799000,5,3.0,1800.0,False,True,False,False,False,True,False,False,False,False,False,False
1599000,5,3.0,5600.0,False,True,False,False,False,False,False,False,False,True,False,False
1299900,4,4.0,2755.0,False,True,False,False,False,False,False,False,False,True,False,False
370000,1,1.0,2184.207862,False,False,False,False,False,False,False,False,False,False,False,False
3649000,3,2.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
860000,5,3.0,2324.0,False,False,False,True,False,True,False,False,False,False,False,False
